,ip4_prefix,ip_address,owner,latitude,longitude
184,9.9.9.0,9.9.9.9,Quad9,24.9575996399,46.6987991333
185,9.9.9.0,9.9.9.9,Quad9,33.94250107,-118.4079971
186,9.9.9.0,9.9.9.9,Quad9,-26.2425003052,28.1511993408
187,9.9.9.0,9.9.9.9,Quad9,51.113899231,-114.019996643
188,9.9.9.0,9.9.9.9,Quad9,49.9099998474,-97.2398986816
189,9.9.9.0,9.9.9.9,Quad9,-4.0348300934,39.5942001343
190,9.9.9.0,9.9.9.9,Quad9,1.3501900434,103.9940032959
191,9.9.9.0,9.9.9.9,Quad9,-12.021900177,-77.1143035889
192,9.9.9.0,9.9.9.9,Quad9,9.9570503235,-84.1398010254
193,9.9.9.0,9.9.9.9,Quad9,50.8658981323,7.1427397728
194,9.9.9.0,9.9.9.9,Quad9,56.9235992432,23.9710998535
195,9.9.9.0,9.9.9.9,Quad9,23.843347,90.397783
196,9.9.9.0,9.9.9.9,Quad9,-1.319239974,36.9277992249
197,9.9.9.0,9.9.9.9,Quad9,47.4812134,19.1303031
198,9.9.9.0,9.9.9.9,Quad9,25.591299057,85.0879974365
199,9.9.9.0,9.9.9.9,Quad9,40.7883987427,-111.9779968262
200,9.9.9.0,9.9.9.9,Quad9,33.8208999634,35.4883995056
201,9.9.9.0,9.9.9.9,Quad9,-8.8583698273,13.2312002182
202,9.9.9.0,9.9.9.9,Quad9,45.445098877,9.2767400742
203,9.9.9.0,9.9.9.9,Quad9,19.0886993408,72.8678970337
204,9.9.9.0,9.9.9.9,Quad9,60.193901062,11.100399971
205,9.9.9.0,9.9.9.9,Quad9,35.3931007385,-97.6007003784
206,9.9.9.0,9.9.9.9,Quad9,-31.9402999878,115.9670028687
207,9.9.9.0,9.9.9.9,Quad9,40.9768981934,28.8145999908
208,9.9.9.0,9.9.9.9,Quad9,39.717300415,-86.2944030762
209,9.9.9.0,9.9.9.9,Quad9,-22.6505,14.5285
210,9.9.9.0,9.9.9.9,Quad9,40.63980103,-73.77890015
211,9.9.9.0,9.9.9.9,Quad9,-20.4302005768,57.6836013794
212,9.9.9.0,9.9.9.9,Quad9,-34.5592,-58.4156
213,9.9.9.0,9.9.9.9,Quad9,-33.9244003296,150.9880065918
214,9.9.9.0,9.9.9.9,Quad9,22.308889,113.914722
215,9.9.9.0,9.9.9.9,Quad9,14.508600235,121.019996643
216,76.223.122.0,76.223.122.150,Amazon.com Inc.,48.9693984985,2.4413900375
217,76.223.122.0,76.223.122.150,Amazon.com Inc.,25.7931995392,-80.2906036377
218,76.223.122.0,76.223.122.150,Amazon.com Inc.,25.1295,56.3395
219,76.223.122.0,76.223.122.150,Amazon.com Inc.,4.70159,-74.1469
220,76.223.122.0,76.223.122.150,Amazon.com Inc.,47.5299987793,-122.3020019531
221,76.223.122.0,76.223.122.150,Amazon.com Inc.,38.1759986877,13.0909996033
222,76.223.122.0,76.223.122.150,Amazon.com Inc.,37.5583000183,126.791000366
223,76.223.122.0,76.223.122.150,Amazon.com Inc.,26.2707996368,50.6335983276
224,76.223.122.0,76.223.122.150,Amazon.com Inc.,12.9900054932,80.1692962646
225,76.223.122.0,76.223.122.150,Amazon.com Inc.,-33.9648017883,18.6016998291
226,76.223.122.0,76.223.122.150,Amazon.com Inc.,44.8819999695,-93.2218017578
227,76.223.122.0,76.223.122.150,Amazon.com Inc.,51.5052986145,0.0552779995
228,76.223.122.0,76.223.122.150,Amazon.com Inc.,33.94250107,-118.4079971
229,76.223.122.0,76.223.122.150,Amazon.com Inc.,45.6795005798,-74.0386962891
230,76.223.122.0,76.223.122.150,Amazon.com Inc.,44.5722007751,26.1021995544
231,76.223.122.0,76.223.122.150,Amazon.com Inc.,25.0776996613,121.233001709
232,76.223.122.0,76.223.122.150,Amazon.com Inc.,8.4821195602,76.9200973511
233,76.223.122.0,76.223.122.150,Amazon.com Inc.,-33.4925,143.2115
234,76.223.122.0,76.223.122.150,Amazon.com Inc.,1.3501900434,103.9940032959
235,76.223.122.0,76.223.122.150,Amazon.com Inc.,22.308889,113.914722
236,76.223.122.0,76.223.122.150,Amazon.com Inc.,19.0886993408,72.8678970337
237,76.223.122.0,76.223.122.150,Amazon.com Inc.,47.4812134,19.1303031
238,76.223.122.0,76.223.122.150,Amazon.com Inc.,-37.0080986023,174.792007446
239,76.223.122.0,76.223.122.150,Amazon.com Inc.,-22.9104995728,-43.1631011963
240,76.223.122.0,76.223.122.150,Amazon.com Inc.,50.8658981323,7.1427397728
241,76.223.122.0,76.223.122.150,Amazon.com Inc.,40.7883987427,-111.9779968262
242,76.223.122.0,76.223.122.150,Amazon.com Inc.,60.193901062,11.100399971
243,76.223.122.0,76.223.122.150,Amazon.com Inc.,34.4272994995,135.2440032959
